query_id,p_control_true,p_treatment_true,delta_gross_true,cost_outcome_units,tau_net_true,traffic_weight
q_0001,0.050,0.060,0.010,0.002,0.008,0.18
q_0002,0.055,0.064,0.009,0.002,0.007,0.15
q_0003,0.060,0.068,0.008,0.002,0.006,0.13
q_0004,0.065,0.071,0.006,0.002,0.004,0.11
q_0005,0.070,0.074,0.004,0.002,0.002,0.10
q_0006,0.075,0.077,0.002,0.002,0.000,0.08
q_0007,0.080,0.080,0.000,0.002,-0.002,0.07
q_0008,0.085,0.083,-0.002,0.002,-0.004,0.06
q_0009,0.090,0.086,-0.004,0.002,-0.006,0.04
q_0010,0.095,0.089,-0.006,0.002,-0.008,0.035
q_0011,0.100,0.092,-0.008,0.002,-0.010,0.025
q_0012,0.105,0.095,-0.010,0.002,-0.012,0.02
